****************************************
Report : Time Based Power
	-hierarchy
	-verbose
Design : aes_cipher_top
Version: N-2017.12-SP3-2
Date   : Fri Mar 29 15:33:18 2019
****************************************

Sampling Interval: 0.001 ns

Library(s) Used:

    sage-x_tsmc_cl018g_rvt_ss_1p62v_125c (File: /opt/libs/tsmc180/extracted/tsmc/cl018g/sc9_base_rvt/2008q3v01/db/sage-x_tsmc_cl018g_rvt_ss_1p62v_125c.db)
    tpz018nvwc (File: /opt/libs/tsmc180/extracted/gpio/TPZ018NV/TS02IG502/fb_tpz018nv_280a_r6p0-02eac0/timing_power_noise/NLDM/tpz018nv_280a/tpz018nvwc.db)
    sram12x8 (File: /home/bilgiday/sram_new/db/sram12x8_slow_syn.db)
    USERLIB (File: /home/bilgiday/sram_new/db/sram6x26_slow_syn.db)
    sram8x25 (File: /home/bilgiday/sram_new/db/sram8x25_slow_syn.db)
    sram9x32 (File: /home/bilgiday/sram_new/db/sram9x32_slow_syn.db)
    sram6x32 (File: /home/bilgiday/sram_new/db/sram6x32_slow_syn.db)
    sram8x32 (File: /home/bilgiday/sram_new/db/sram8x32_slow_syn.db)
    USERLIB (File: /home/bilgiday/sram_new/db/sram2p8x32_slow_syn.db)
    sram13x8 (File: /home/bilgiday/sram_new/db/sram13x8_slow_syn.db)


Operating Conditions: ss_1p62v_125c   Library: sage-x_tsmc_cl018g_rvt_ss_1p62v_125c
Wire Load Model Mode: top

Cell               Design       Wire_model  Library       Selection_type
--------------------------------------------------------------------------------
                   aes_cipher_top
                                TSMC16K_Conservative
                                            tpz018nvwc    automatic-by-area

Power-specific unit information :
    Voltage Units = 1 V
    Capacitance Units = 1 pf
    Time Units = 1 ns
    Dynamic Power Units = 1 W
    Leakage Power Units = 1 W



                                      Int      Switch   Leak      Total
Hierarchy                             Power    Power    Power     Power    %
--------------------------------------------------------------------------------
  sa32_reg_0_ (WDDLDFFMS)             5.72e-06 5.73e-07 2.10e-09  6.30e-06   0.1
  text_out_reg_62_ (WDDLDFFMS)        4.95e-06 1.55e-07 2.08e-09  5.11e-06   0.1
  sa00_reg_6_ (WDDLDFFMS)             4.80e-06 2.41e-07 2.02e-09  5.04e-06   0.1
  sa21_reg_6_ (WDDLDFFMS)             6.19e-06 4.22e-07 2.11e-09  6.61e-06   0.1
  sa11_reg_1_ (WDDLDFFMS)             4.78e-06 1.54e-06 2.06e-09  6.31e-06   0.1
  text_out_reg_23_ (WDDLDFFMS)        4.81e-06 1.36e-07 2.05e-09  4.94e-06   0.1
  sa32_reg_1_ (WDDLDFFMS)             4.89e-06 1.15e-06 2.04e-09  6.05e-06   0.1
  text_out_reg_63_ (WDDLDFFMS)        5.49e-06 1.70e-07 2.09e-09  5.66e-06   0.1
  sa00_reg_7_ (WDDLDFFMS)             4.91e-06 8.47e-07 2.03e-09  5.76e-06   0.1
  sa21_reg_7_ (WDDLDFFMS)             5.91e-06 1.43e-06 2.09e-09  7.34e-06   0.1
  us00 (aes_sbox_19)                  4.07e-05 7.77e-05 7.25e-08  1.18e-04   2.0
  us01 (aes_sbox_18)                  4.67e-05 8.88e-05 7.28e-08  1.35e-04   2.3
  us02 (aes_sbox_17)                  4.56e-05 8.85e-05 7.27e-08  1.34e-04   2.3
  us03 (aes_sbox_16)                  4.43e-05 8.62e-05 7.28e-08  1.31e-04   2.3
  sa11_reg_2_ (WDDLDFFMS)             5.81e-06 9.82e-07 2.10e-09  6.80e-06   0.1
  text_out_reg_24_ (WDDLDFFMS)        4.86e-06 1.70e-07 2.10e-09  5.03e-06   0.1
  sa32_reg_2_ (WDDLDFFMS)             4.95e-06 7.70e-07 2.06e-09  5.72e-06   0.1
  text_out_reg_64_ (WDDLDFFMS)        4.68e-06 1.36e-07 2.06e-09  4.82e-06   0.1
  us10 (aes_sbox_15)                  4.72e-05 9.15e-05 7.28e-08  1.39e-04   2.4
  us11 (aes_sbox_14)                  4.13e-05 7.94e-05 7.28e-08  1.21e-04   2.1
  us12 (aes_sbox_13)                  4.68e-05 9.05e-05 7.33e-08  1.37e-04   2.4
  us13 (aes_sbox_12)                  4.42e-05 8.52e-05 7.23e-08  1.29e-04   2.2
  sa11_reg_3_ (WDDLDFFMS)             5.37e-06 7.65e-07 2.09e-09  6.14e-06   0.1
  text_out_reg_25_ (WDDLDFFMS)        5.70e-06 2.04e-07 2.11e-09  5.90e-06   0.1
  sa32_reg_3_ (WDDLDFFMS)             5.41e-06 7.45e-07 2.07e-09  6.16e-06   0.1
  text_out_reg_65_ (WDDLDFFMS)        4.71e-06 1.36e-07 2.07e-09  4.85e-06   0.1
  us20 (aes_sbox_11)                  4.54e-05 8.70e-05 7.26e-08  1.33e-04   2.3
  us21 (aes_sbox_10)                  4.52e-05 8.65e-05 7.31e-08  1.32e-04   2.3
  us22 (aes_sbox_9)                   4.56e-05 8.78e-05 7.27e-08  1.33e-04   2.3
  us23 (aes_sbox_8)                   6.05e-05 1.00e-04 8.95e-08  1.61e-04   2.8
    U180 (WDDLNAND2X)                 1.87e-06 1.91e-06 2.33e-09  3.78e-06   0.1
