****************************************
Report : Time Based Power
	-hierarchy
	-verbose
Design : aes_cipher_top
Version: N-2017.12-SP3-2
Date   : Sat Mar  9 00:52:47 2019
****************************************

Sampling Interval: 0.001 ns

Library(s) Used:

    sage-x_tsmc_cl018g_rvt_ss_1p62v_125c (File: /opt/libs/tsmc180/extracted/tsmc/cl018g/sc9_base_rvt/2008q3v01/db/sage-x_tsmc_cl018g_rvt_ss_1p62v_125c.db)
    tpz018nvwc (File: /opt/libs/tsmc180/extracted/gpio/TPZ018NV/TS02IG502/fb_tpz018nv_280a_r6p0-02eac0/timing_power_noise/NLDM/tpz018nv_280a/tpz018nvwc.db)
    sram12x8 (File: /home/bilgiday/sram_new/db/sram12x8_slow_syn.db)
    USERLIB (File: /home/bilgiday/sram_new/db/sram6x26_slow_syn.db)
    sram8x25 (File: /home/bilgiday/sram_new/db/sram8x25_slow_syn.db)
    sram9x32 (File: /home/bilgiday/sram_new/db/sram9x32_slow_syn.db)
    sram6x32 (File: /home/bilgiday/sram_new/db/sram6x32_slow_syn.db)
    sram8x32 (File: /home/bilgiday/sram_new/db/sram8x32_slow_syn.db)
    USERLIB (File: /home/bilgiday/sram_new/db/sram2p8x32_slow_syn.db)
    sram13x8 (File: /home/bilgiday/sram_new/db/sram13x8_slow_syn.db)


Operating Conditions: ss_1p62v_125c   Library: sage-x_tsmc_cl018g_rvt_ss_1p62v_125c
Wire Load Model Mode: top

Cell               Design       Wire_model  Library       Selection_type
--------------------------------------------------------------------------------
                   aes_cipher_top
                                TSMC16K_Conservative
                                            tpz018nvwc    automatic-by-area

Power-specific unit information :
    Voltage Units = 1 V
    Capacitance Units = 1 pf
    Time Units = 1 ns
    Dynamic Power Units = 1 W
    Leakage Power Units = 1 W



                                      Int      Switch   Leak      Total
Hierarchy                             Power    Power    Power     Power    %
--------------------------------------------------------------------------------
aes_cipher_top                        3.04e-03 2.44e-03 2.83e-06  5.48e-03 100.0
  sa31_reg_3_ (WDDLDFFMS)             4.23e-06 1.01e-06 2.08e-09  5.24e-06   0.1
  sa10_reg_4_ (WDDLDFFMS)             4.97e-06 6.21e-07 2.12e-09  5.59e-06   0.1
  sa31_reg_4_ (WDDLDFFMS)             4.55e-06 8.57e-07 2.12e-09  5.41e-06   0.1
  sa10_reg_5_ (WDDLDFFMS)             5.66e-06 4.49e-07 2.21e-09  6.11e-06   0.1
  sa00_reg_0_ (WDDLDFFMS)             5.20e-06 3.76e-07 2.16e-09  5.58e-06   0.1
  sa31_reg_5_ (WDDLDFFMS)             4.90e-06 5.39e-07 2.16e-09  5.44e-06   0.1
  sa21_reg_0_ (WDDLDFFMS)             4.46e-06 3.76e-07 2.08e-09  4.83e-06   0.1
  sa10_reg_6_ (WDDLDFFMS)             4.76e-06 4.35e-07 2.13e-09  5.19e-06   0.1
  sa00_reg_1_ (WDDLDFFMS)             4.55e-06 2.07e-06 2.12e-09  6.63e-06   0.1
  sa31_reg_6_ (WDDLDFFMS)             4.72e-06 4.19e-07 2.13e-09  5.14e-06   0.1
  sa21_reg_1_ (WDDLDFFMS)             5.38e-06 1.40e-06 2.16e-09  6.78e-06   0.1
  sa10_reg_7_ (WDDLDFFMS)             4.55e-06 1.52e-06 2.13e-09  6.07e-06   0.1
  sa00_reg_2_ (WDDLDFFMS)             4.62e-06 1.04e-06 2.13e-09  5.66e-06   0.1
  sa31_reg_7_ (WDDLDFFMS)             4.66e-06 1.27e-06 2.12e-09  5.93e-06   0.1
